data,notifiche_inviate,utenti_positivi
2020-06-15 00:00:00,0,4
2020-06-16 00:00:00,0,0
2020-06-17 00:00:00,0,3
2020-06-18 00:00:00,0,1
2020-06-19 00:00:00,0,1
2020-06-20 00:00:00,0,1
2020-06-21 00:00:00,0,0
2020-06-22 00:00:00,0,3
2020-06-23 00:00:00,0,0
2020-06-24 00:00:00,0,4
2020-06-25 00:00:00,0,0
2020-06-26 00:00:00,0,0
2020-06-27 00:00:00,0,0
2020-06-28 00:00:00,0,0
2020-06-29 00:00:00,0,0
2020-06-30 00:00:00,0,4
2020-07-01 00:00:00,0,1
2020-07-02 00:00:00,0,2
2020-07-03 00:00:00,0,2
2020-07-04 00:00:00,0,1
2020-07-05 00:00:00,0,0
2020-07-06 00:00:00,0,1
2020-07-07 00:00:00,0,0
2020-07-08 00:00:00,0,2
2020-07-09 00:00:00,0,0
2020-07-10 00:00:00,0,0
2020-07-11 00:00:00,0,1
2020-07-12 00:00:00,0,0
2020-07-13 00:00:00,0,2
2020-07-14 00:00:00,0,0
2020-07-15 00:00:00,0,1
2020-07-16 00:00:00,0,2
2020-07-17 00:00:00,2,1
2020-07-18 00:00:00,10,2
2020-07-19 00:00:00,6,1
2020-07-20 00:00:00,2,1
2020-07-21 00:00:00,3,1
2020-07-22 00:00:00,3,3
2020-07-23 00:00:00,10,2
2020-07-24 00:00:00,13,5
2020-07-25 00:00:00,10,1
2020-07-26 00:00:00,2,0
2020-07-27 00:00:00,5,2
2020-07-28 00:00:00,4,0
2020-07-29 00:00:00,13,1
2020-07-30 00:00:00,10,2
2020-07-31 00:00:00,5,1
2020-08-01 00:00:00,9,1
2020-08-02 00:00:00,3,1
2020-08-03 00:00:00,22,1
2020-08-04 00:00:00,64,1
2020-08-05 00:00:00,15,1
2020-08-06 00:00:00,35,4
2020-08-07 00:00:00,29,1
2020-08-08 00:00:00,15,2
2020-08-09 00:00:00,11,0
2020-08-10 00:00:00,29,4
2020-08-11 00:00:00,22,0
2020-08-12 00:00:00,9,4
2020-08-13 00:00:00,12,2
2020-08-14 00:00:00,6,2
2020-08-15 00:00:00,2,0
2020-08-16 00:00:00,17,1
2020-08-17 00:00:00,11,1
2020-08-18 00:00:00,128,4
2020-08-19 00:00:00,66,3
2020-08-20 00:00:00,49,4
2020-08-21 00:00:00,37,2
2020-08-22 00:00:00,26,4
2020-08-23 00:00:00,94,3
2020-08-24 00:00:00,96,0
2020-08-25 00:00:00,92,7
2020-08-26 00:00:00,62,3
2020-08-27 00:00:00,193,17
2020-08-28 00:00:00,180,7
2020-08-29 00:00:00,144,6
2020-08-30 00:00:00,190,2
2020-08-31 00:00:00,112,8
2020-09-01 00:00:00,118,8
2020-09-02 00:00:00,99,11
2020-09-03 00:00:00,220,9
2020-09-04 00:00:00,135,5
2020-09-05 00:00:00,63,5
2020-09-06 00:00:00,84,2
2020-09-07 00:00:00,122,6
2020-09-08 00:00:00,111,5
2020-09-09 00:00:00,105,8
2020-09-10 00:00:00,145,7
2020-09-11 00:00:00,145,10
2020-09-12 00:00:00,66,4
2020-09-13 00:00:00,54,3
2020-09-14 00:00:00,140,9
2020-09-15 00:00:00,196,9
2020-09-16 00:00:00,173,5
2020-09-17 00:00:00,57,4
2020-09-18 00:00:00,95,6
2020-09-19 00:00:00,92,2
2020-09-20 00:00:00,36,0
2020-09-21 00:00:00,56,7
2020-09-22 00:00:00,127,9
2020-09-23 00:00:00,84,6
2020-09-24 00:00:00,53,4
2020-09-25 00:00:00,161,12
2020-09-26 00:00:00,129,2
2020-09-27 00:00:00,72,3
2020-09-28 00:00:00,122,3
2020-09-29 00:00:00,112,1
2020-09-30 00:00:00,84,3
2020-10-01 00:00:00,102,8
2020-10-02 00:00:00,270,12
2020-10-03 00:00:00,219,4
2020-10-04 00:00:00,106,5
2020-10-05 00:00:00,291,13
2020-10-06 00:00:00,367,12
2020-10-07 00:00:00,601,24
2020-10-08 00:00:00,554,23
2020-10-09 00:00:00,450,31
2020-10-10 00:00:00,544,34
2020-10-11 00:00:00,440,20
2020-10-12 00:00:00,652,43
2020-10-13 00:00:00,667,35
2020-10-14 00:00:00,1036,54
2020-10-15 00:00:00,1304,69
2020-10-16 00:00:00,1723,70
2020-10-17 00:00:00,1397,36
2020-10-18 00:00:00,1003,44
2020-10-19 00:00:00,1040,42
2020-10-20 00:00:00,1585,97
2020-10-21 00:00:00,3311,135
2020-10-22 00:00:00,2760,68
2020-10-23 00:00:00,2384,90
2020-10-24 00:00:00,2789,54
2020-10-25 00:00:00,2210,44
2020-10-26 00:00:00,3292,140
2020-10-27 00:00:00,5195,143
